Rank,City,Crime Index,Safety Index,Country,Continent_x,Population_2022,Area_km2,Density_per_km2,Growth Rate,GDP_2022,GDP_2023,Continent_y,City_Country,Latitude,Longitude,School_Enrollment_2022,Unemployment_Rate_2022,Income_per_Capita_2021
251,Bremen,41.52,58.48,Germany,Europe,83369843.0,357114.0,233.4544,0.9995,4163596357879.39,4525703903627.53,Europe,"Bremen, Germany",53.0758196,8.8071646,77.3656997680664,3.12,42982.481891127
252,Toronto,41.52,58.48,Canada,North America,38454327.0,9984670.0,3.8513,1.0078,2161483369422.01,2142470914401.36,Americas,"Toronto, Canada",43.65107,-79.347015,77.3137588500977,5.279,41986.2328595884
253,Novi Sad,41.41,58.59,Serbia,Europe,7221365.0,88361.0,81.7257,0.9897,66797564758.339,81342660752.3732,Europe,"Novi Sad, Serbia",45.2551338,19.8451756,72.0334320068359,8.439,7431.64056276737
254,Iloilo,41.38,58.62,Philippines,Asia,115559009.0,342353.0,337.5434,1.0147,404353369604.631,437146372729.942,Asia,"Iloilo, Philippines",10.9522168,122.5799456,39.5887565612793,2.598,3196.29090547243
255,Cuenca,41.36,58.64,Ecuador,South America,18001000.0,276841.0,65.0229,1.0114,116586079000.0,118844826000.0,Americas,"Cuenca, Ecuador",-2.8974072,-79.0041726,59.8797798156738,3.761,4420.8252862934
256,Hanover,41.29,58.71,Germany,Europe,83369843.0,357114.0,233.4544,0.9995,4163596357879.39,4525703903627.53,Europe,"Hanover, Germany",52.3744779,9.7385532,77.3656997680664,3.12,42982.481891127
257,Katowice,41.26,58.74,Poland,Europe,39857145.0,312679.0,127.4698,1.0404,695607470875.276,809200697797.088,Europe,"Katowice, Poland",50.2137321,19.00588775660632,75.2911071777344,2.811,15410.7923025682
258,Kochi,41.21,58.79,India,Asia,1417173173.0,3287590.0,431.0675,1.0068,3353470496886.33,3567551674623.01,Asia,"Kochi, India",9.9674277,76.2454436,32.6703071594238,4.822,1907.12903981633
259,Colombo,41.19,58.81,Sri Lanka,Asia,21832143.0,65610.0,332.7563,1.0027,74144870023.4244,84356863743.6335,Asia,"Colombo, Sri Lanka",6.9388614,79.8542005,22.9647026062012,4.528,3611.59123580456
260,Halifax,41.16,58.84,Canada,North America,38454327.0,9984670.0,3.8513,1.0078,2161483369422.01,2142470914401.36,Americas,"Halifax, Canada",44.648618,-63.5859487,77.3137588500977,5.279,41986.2328595884
261,Christchurch,41.15,58.85,New Zealand,Oceania,5185288.0,270467.0,19.1716,1.0108,246733522841.353,252175506110.168,Oceania,"Christchurch, New Zealand",-43.530955,172.6364343,77.0104675292969,3.297,40518.245535159
262,Bangkok,40.98,59.02,Thailand,Asia,71697030.0,513120.0,139.7276,1.0013,495645210972.751,514968699239.005,Asia,"Bangkok, Thailand",13.7524938,100.4935089,43.9606094360352,0.94,5393.01457363715
263,Kitchener,40.97,59.03,Canada,North America,38454327.0,9984670.0,3.8513,1.0078,2161483369422.01,2142470914401.36,Americas,"Kitchener, Canada",43.451291,-80.4927815,77.3137588500977,5.279,41986.2328595884
264,Leipzig,40.86,59.14,Germany,Europe,83369843.0,357114.0,233.4544,0.9995,4163596357879.39,4525703903627.53,Europe,"Leipzig, Germany",51.3406321,12.3747329,77.3656997680664,3.12,42982.481891127
266,Uppsala,40.56,59.44,Sweden,Europe,10549347.0,450295.0,23.4276,1.0079,579895717343.956,584960475767.32,Europe,"Uppsala, Sweden",59.8586126,17.6387436,83.8976135253906,7.392,51830.6266145746
267,Chennai,40.45,59.55,India,Asia,1417173173.0,3287590.0,431.0675,1.0068,3353470496886.33,3567551674623.01,Asia,"Chennai, India",13.0827,80.2707,32.6703071594238,4.822,1907.12903981633
268,Bonn,40.43,59.57,Germany,Europe,83369843.0,357114.0,233.4544,0.9995,4163596357879.39,4525703903627.53,Europe,"Bonn, Germany",50.7352621,7.1024635,77.3656997680664,3.12,42982.481891127
269,Limerick,40.28,59.72,Ireland,Europe,5023109.0,70273.0,71.4799,1.0073,548570250341.987,551394889339.778,Europe,"Limerick, Ireland",52.661252,-8.6301239,76.6049499511719,4.501,49607.1754153272
271,Florence,40.23,59.77,Italy,Europe,59037474.0,301336.0,195.9191,0.9966,2102995942720.44,2300941152991.81,Europe,"Florence, Italy",43.7697955,11.2556404,73.8962097167969,8.069,29681.5571261882
272,Thiruvananthapuram,39.54,60.46,India,Asia,1417173173.0,3287590.0,431.0675,1.0068,3353470496886.33,3567551674623.01,Asia,"Thiruvananthapuram, India",8.4882267,76.947551,32.6703071594238,4.822,1907.12903981633
273,Coimbatore,39.53,60.47,India,Asia,1417173173.0,3287590.0,431.0675,1.0068,3353470496886.33,3567551674623.01,Asia,"Coimbatore, India",11.0018115,76.9628425,32.6703071594238,4.822,1907.12903981633
279,Lviv,38.89,61.11,Ukraine,Europe,39701739.0,603500.0,65.7858,0.912,161989520721.19,178757021965.008,Europe,"Lviv, Ukraine",49.841952,24.0315921,80.84130096435547,9.167666666666667,3918.818359375
280,Amman,38.82,61.18,Jordan,Asia,11285869.0,89342.0,126.3221,1.0123,48764963380.2817,50967475352.1127,Asia,"Amman, Jordan",31.9515694,35.9239625,32.5119781494141,18.2,3934.82139218763
281,Makati,38.39,61.61,Philippines,Asia,115559009.0,342353.0,337.5434,1.0147,404353369604.631,437146372729.942,Asia,"Makati, Philippines",14.5567949,121.0211226,39.5887565612793,2.598,3196.29090547243
282,Vancouver,38.25,61.75,Canada,North America,38454327.0,9984670.0,3.8513,1.0078,2161483369422.01,2142470914401.36,Americas,"Vancouver, Canada",49.2608724,-123.113952,77.3137588500977,5.279,41986.2328595884
285,Karlsruhe,38.09,61.91,Germany,Europe,83369843.0,357114.0,233.4544,0.9995,4163596357879.39,4525703903627.53,Europe,"Karlsruhe, Germany",49.0068705,8.4034195,77.3656997680664,3.12,42982.481891127
286,Victoria,38.05,61.95,Canada,North America,38454327.0,9984670.0,3.8513,1.0078,2161483369422.01,2142470914401.36,Americas,"Victoria, Canada",48.4283182,-123.364953,77.3137588500977,5.279,41986.2328595884
287,Belgrade,38.01,61.99,Serbia,Europe,7221365.0,88361.0,81.7257,0.9897,66797564758.339,81342660752.3732,Europe,"Belgrade, Serbia",44.8178131,20.4568974,72.0334320068359,8.439,7431.64056276737
288,Strasbourg,37.93,62.07,France,Europe,64626628.0,551695.0,117.1419,1.0015,2796302210398.84,3051831611384.76,Europe,"Strasbourg, France",48.584614,7.7507127,71.4203109741211,7.308,36447.5784621026
289,Riga,37.91,62.09,Latvia,Europe,1850651.0,64559.0,28.666,0.9876,38018905782.397,42247850064.5125,Europe,"Riga, Latvia",56.9493977,24.1051846,91.3303680419922,6.815,16238.8897578519
290,Visakhapatnam,37.8,62.2,India,Asia,1417173173.0,3287590.0,431.0675,1.0068,3353470496886.33,3567551674623.01,Asia,"Visakhapatnam, India",17.6935526,83.2921297,32.6703071594238,4.822,1907.12903981633
291,Kaunas,37.58,62.42,Lithuania,Europe,2750055.0,65300.0,42.1142,0.9869,71033884499.7824,79789877416.1681,Europe,"Kaunas, Lithuania",54.8982139,23.9044817,76.9154586791992,5.955,19957.147930238
292,Antwerp,37.56,62.44,Belgium,Europe,11655930.0,30528.0,381.8111,1.0038,593438820508.173,644782756682.756,Europe,"Antwerp, Belgium",51.2211097,4.3997081,83.5736465454102,5.57,41743.0142804966
294,Kathmandu,37.25,62.75,Nepal,Asia,30547580.0,147181.0,207.5511,1.0171,41182939600.67,40908073366.8455,Asia,"Kathmandu, Nepal",27.7172,85.324,13.9988746643066,10.844,1148.15861171585
297,Baguio,37.17,62.83,Philippines,Asia,115559009.0,342353.0,337.5434,1.0147,404353369604.631,437146372729.942,Asia,"Baguio, Philippines",16.4119905,120.5933719,39.5887565612793,2.598,3196.29090547243
299,Varna,37.13,62.87,Bulgaria,Europe,6781953.0,110879.0,61.1654,0.9849,90642851835.8996,102407653020.606,Europe,"Varna, Bulgaria",43.2052135,27.860202452255194,84.1293563842773,4.268,10114.5235213919
300,Calgary,36.82,63.18,Canada,North America,38454327.0,9984670.0,3.8513,1.0078,2161483369422.01,2142470914401.36,Americas,"Calgary, Canada",51.0456064,-114.057541,77.3137588500977,5.279,41986.2328595884
301,Nagpur,36.77,63.23,India,Asia,1417173173.0,3287590.0,431.0675,1.0068,3353470496886.33,3567551674623.01,Asia,"Nagpur, India",21.1498134,79.0820556,32.6703071594238,4.822,1907.12903981633
302,Queretaro,36.74,63.26,Mexico,North America,127504125.0,1964375.0,64.9082,1.0063,1464312692331.58,1789114434843.46,Americas,"Queretaro, Mexico",20.8052225,-99.8837376,46.4061317443848,3.256,7443.53351798716
303,Oulu,36.51,63.49,Finland,Europe,5540745.0,338424.0,16.3722,1.0009,280241515774.32,295532341254.907,Europe,"Oulu, Finland",65.0118734,25.4716809,104.944221496582,6.719,44416.2001989398
305,Klaipeda,36.46,63.54,Lithuania,Europe,2750055.0,65300.0,42.1142,0.9869,71033884499.7824,79789877416.1681,Europe,"Klaipeda, Lithuania",55.7127529,21.1350469,76.9154586791992,5.955,19957.147930238
306,Guangzhou,36.41,63.59,China,Asia,1425887337.0,9706961.0,146.8933,1.0,17881782683707.3,17794783039552.0,Asia,"Guangzhou, China",23.1301964,113.2592945,71.9815521240234,4.98,9015.34800413676
307,Cagliari,36.37,63.63,Italy,Europe,59037474.0,301336.0,195.9191,0.9966,2102995942720.44,2300941152991.81,Europe,"Cagliari, Italy",39.2171994,9.113311,73.8962097167969,8.069,29681.5571261882
308,Jerusalem,36.24,63.76,Israel,Asia,9038309.0,20770.0,435.1617,1.0155,525000415276.678,513611100815.691,Asia,"Jerusalem, Israel",31.7683,35.2137,57.6379203796387,3.695,43494.5020003156
309,Rabat,36.17,63.83,Morocco,Africa,37457971.0,446550.0,83.883,1.0103,130951926351.241,144417103249.646,Africa,"Rabat, Morocco",34.02236,-6.8340222,46.1795501708984,9.494,3372.8427734375
310,Rotterdam,36.16,63.84,Netherlands,Europe,17564014.0,41850.0,419.6897,1.0036,1046540797548.64,1154361305398.06,Europe,"Rotterdam, Netherlands",51.9244424,4.47775,87.36347198486331,3.526,46419.7071212119
311,Cork,36.03,63.97,Ireland,Europe,5023109.0,70273.0,71.4799,1.0073,548570250341.987,551394889339.778,Europe,"Cork, Ireland",51.8985136,-8.4726423,76.6049499511719,4.501,49607.1754153272
312,Lahore,35.77,64.23,Pakistan,Asia,235824862.0,881912.0,267.4018,1.0191,374890295666.694,337912301397.727,Asia,"Lahore, Pakistan",31.5656822,74.3141829,10.6203098297119,5.485,1363.23295218181
314,Penang,35.59,64.41,Malaysia,Asia,33938221.0,330803.0,102.5934,1.0109,407605841348.235,399705169318.477,Asia,"Penang, Malaysia",5.4065013,100.2559077,40.2706604003906,3.93,7704.95361176673
